qid,figure_index,figure_count,session,paper,question,file_name,relative_path,public_url
0580-2024MayJune-Paper13-Q05,0,2,2024MayJune,Paper13,Q05,Q05a.png,2024MayJune/Paper13/Q05/Q05a.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q05/Q05a.png
0580-2024MayJune-Paper13-Q05,1,2,2024MayJune,Paper13,Q05,Q05b.png,2024MayJune/Paper13/Q05/Q05b.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q05/Q05b.png
0580-2024MayJune-Paper13-Q11,0,1,2024MayJune,Paper13,Q11,Q11.png,2024MayJune/Paper13/Q11/Q11.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q11/Q11.png
0580-2024MayJune-Paper13-Q12,0,2,2024MayJune,Paper13,Q12,Q12-1.png,2024MayJune/Paper13/Q12/Q12-1.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q12/Q12-1.png
0580-2024MayJune-Paper13-Q12,1,2,2024MayJune,Paper13,Q12,Q12-2.png,2024MayJune/Paper13/Q12/Q12-2.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q12/Q12-2.png
0580-2024MayJune-Paper13-Q17,0,1,2024MayJune,Paper13,Q17,Q17.png,2024MayJune/Paper13/Q17/Q17.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q17/Q17.png
0580-2024MayJune-Paper13-Q20,0,1,2024MayJune,Paper13,Q20,Q20.png,2024MayJune/Paper13/Q20/Q20.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q20/Q20.png
0580-2024MayJune-Paper13-Q21,0,2,2024MayJune,Paper13,Q21,Q21a.png,2024MayJune/Paper13/Q21/Q21a.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q21/Q21a.png
0580-2024MayJune-Paper13-Q21,1,2,2024MayJune,Paper13,Q21,Q21b.png,2024MayJune/Paper13/Q21/Q21b.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q21/Q21b.png
0580-2024MayJune-Paper13-Q23,0,1,2024MayJune,Paper13,Q23,Q23.png,2024MayJune/Paper13/Q23/Q23.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper13/Q23/Q23.png
0580-2024MayJune-Paper21-Q01,0,1,2024MayJune,Paper21,Q01,Q01.png,2024MayJune/Paper21/Q01/Q01.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q01/Q01.png
0580-2024MayJune-Paper21-Q02,0,1,2024MayJune,Paper21,Q02,Q02b.png,2024MayJune/Paper21/Q02/Q02b.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q02/Q02b.png
0580-2024MayJune-Paper21-Q03,0,1,2024MayJune,Paper21,Q03,Q03.png,2024MayJune/Paper21/Q03/Q03.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q03/Q03.png
0580-2024MayJune-Paper21-Q06,0,1,2024MayJune,Paper21,Q06,Q06.png,2024MayJune/Paper21/Q06/Q06.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q06/Q06.png
0580-2024MayJune-Paper21-Q07,0,1,2024MayJune,Paper21,Q07,Q07.png,2024MayJune/Paper21/Q07/Q07.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q07/Q07.png
0580-2024MayJune-Paper21-Q11,0,1,2024MayJune,Paper21,Q11,Q11.png,2024MayJune/Paper21/Q11/Q11.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q11/Q11.png
0580-2024MayJune-Paper21-Q13,0,1,2024MayJune,Paper21,Q13,Q13.png,2024MayJune/Paper21/Q13/Q13.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q13/Q13.png
0580-2024MayJune-Paper21-Q14,0,1,2024MayJune,Paper21,Q14,Q14.png,2024MayJune/Paper21/Q14/Q14.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q14/Q14.png
0580-2024MayJune-Paper21-Q16,0,2,2024MayJune,Paper21,Q16,Q16a.png,2024MayJune/Paper21/Q16/Q16a.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q16/Q16a.png
0580-2024MayJune-Paper21-Q16,1,2,2024MayJune,Paper21,Q16,Q16b.png,2024MayJune/Paper21/Q16/Q16b.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q16/Q16b.png
0580-2024MayJune-Paper21-Q17,0,1,2024MayJune,Paper21,Q17,Q17.png,2024MayJune/Paper21/Q17/Q17.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q17/Q17.png
0580-2024MayJune-Paper21-Q18,0,1,2024MayJune,Paper21,Q18,Q18.png,2024MayJune/Paper21/Q18/Q18.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q18/Q18.png
0580-2024MayJune-Paper21-Q21,0,1,2024MayJune,Paper21,Q21,Q21.png,2024MayJune/Paper21/Q21/Q21.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper21/Q21/Q21.png
0580-2024MayJune-Paper22-Q03,0,1,2024MayJune,Paper22,Q03,Q03a.png,2024MayJune/Paper22/Q03/Q03a.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q03/Q03a.png
0580-2024MayJune-Paper22-Q05,0,1,2024MayJune,Paper22,Q05,Q05.png,2024MayJune/Paper22/Q05/Q05.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q05/Q05.png
0580-2024MayJune-Paper22-Q07,0,1,2024MayJune,Paper22,Q07,Q07.png,2024MayJune/Paper22/Q07/Q07.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q07/Q07.png
0580-2024MayJune-Paper22-Q09,0,1,2024MayJune,Paper22,Q09,Q09.png,2024MayJune/Paper22/Q09/Q09.png,https://git25math.github.io/25maths-cie0580-figures/2024MayJune/Paper22/Q09/Q09.png
